annotation	a	b	c	d	odds_ratio	p_value	trait
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_KID	20	188	1942	28395	1.555481298069549	0.0646264739388296	eGFR
cCREv4_Human_CellType.KID_PLS	3	205	257	30080	1.7128214861915156	0.2610101631258195	eGFR
GTEx_Flagship.GTEx_Finemap_PIP_10_kidney	0	208	26	30311	0.0	1.0	eGFR
GTEx_Flagship.GTEx_Finemap_PIP_50_kidney	0	208	11	30326	0.0	1.0	eGFR
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_LNG	26	92	1654	18045	3.0832369486357183	4.913179471500271e-06	FEV1_FVC_ratio
cCREv4_Human_CellType.LNG_dELS	19	99	715	18984	5.095655859292223	6.67760854846418e-08	FEV1_FVC_ratio
cCREv4_Human_CellType.LNG_pELS	9	109	362	19337	4.4105884738202645	0.0003816409083707	FEV1_FVC_ratio
cCREv4_Human_CellType.LNG_PLS	2	116	222	19477	1.512659210935073	0.3861113675805981	FEV1_FVC_ratio
GTEx_Flagship.GTEx_Finemap_PIP_50_lung	1	117	60	19639	2.797578347578348	0.3057085871168739	FEV1_FVC_ratio
GTEx_Flagship.GTEx_Finemap_PIP_10_lung	1	117	214	19485	0.7782171099928109	1.0	FEV1_FVC_ratio
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_HepG2	11	27	905	20102	9.049396357683651	4.086223996249376e-07	LDL-C
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_LIV	16	22	1757	19250	7.968127490039841	2.2329489612445424e-08	LDL-C
cCREv4_Human_CellType.HepG2_dELS	7	31	305	20702	15.326705446853516	1.2521594434234688e-06	LDL-C
cCREv4_Human_CellType.LIV_PLS	0	38	219	20788	0.0	1.0	LDL-C
cCREv4_Human_CellType.LIV_dELS	11	27	733	20274	11.268455358496286	5.037543709766482e-08	LDL-C
cCREv4_Human_CellType.LIV_pELS	2	36	335	20672	3.4281923714759537	0.1235255387257125	LDL-C
cCREv4_Human_CellType.HepG2_pELS	1	37	147	20860	3.8352638352638353	0.235411766015719	LDL-C
cCREv4_Human_CellType.HepG2_PLS	0	38	176	20831	0.0	1.0	LDL-C
cCREv4_Human_CellType.LIV_ALL	29	9	8918	12089	4.367957439386011	4.22760957106889e-05	LDL-C
GTEx_Flagship.GTEx_Finemap_PIP_10_liver	3	35	107	20900	16.742323097463284	0.0010259605084952	LDL-C
GTEx_Flagship.GTEx_Finemap_PIP_50_liver	2	36	28	20979	41.625	0.0013376441022101	LDL-C
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_GM12878	33	180	353	7554	3.923229461756374	1.298504678973392e-09	Lymphocyte_Count
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_K562	29	184	305	7602	3.9283321454027087	1.0305342361508337e-08	Lymphocyte_Count
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_BLD	87	126	1436	6471	3.1114703541583766	3.9082169013091724e-14	Lymphocyte_Count
cCREv4_Human_CellType.GM12878_pELS	9	204	107	7800	3.216052776250687	0.003343278518874	Lymphocyte_Count
cCREv4_Human_CellType.K562_PLS	9	204	67	7840	5.162423178226515	0.0001540366463966	Lymphocyte_Count
cCREv4_Human_CellType.GM12878_dELS	10	203	100	7807	3.8458128078817735	0.0005947913370599	Lymphocyte_Count
cCREv4_Human_CellType.K562_pELS	10	203	123	7784	3.117465657415195	0.0025397237034272	Lymphocyte_Count
cCREv4_Human_CellType.K562_dELS	11	202	85	7822	5.011182294700058	3.9003226853318864e-05	Lymphocyte_Count
cCREv4_Human_CellType.BLD_PLS	13	200	113	7794	4.483274336283186	2.41563375820099e-05	Lymphocyte_Count
cCREv4_Human_CellType.BLD_dELS	48	165	618	7289	3.4311268020005885	5.3145071938324416e-11	Lymphocyte_Count
cCREv4_Human_CellType.GM12878_PLS	10	203	77	7830	5.009276437847866	8.567976805696497e-05	Lymphocyte_Count
cCREv4_Human_CellType.BLD_pELS	35	178	402	7505	3.670901112415451	2.215419884258772e-09	Lymphocyte_Count
GTEx_Flagship.GTEx_Finemap_PIP_50_blood	2	211	37	7870	2.016139362110926	0.2728010905292584	Lymphocyte_Count
GTEx_Flagship.GTEx_Finemap_PIP_10_blood	6	207	138	7769	1.6318000420079817	0.2811032237439829	Lymphocyte_Count
