annotation	beta	odds_ratio_per_SD	p_value	trait
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_kidney	0.0706927229298809	1.073251389652886	0.1729707674357454	eGFR
Enformer.Enformer_kidney_DNASE	0.1954273795868466	1.215830496603128	1.0242407792303343e-16	eGFR
Enformer.Enformer_kidney_all	0.2214062247918825	1.2478302271947646	9.371118621825466e-19	eGFR
Enformer.Enformer_kidney_CAGE	0.1407169033062415	1.1510987296091717	1.3103946657711474e-11	eGFR
Enformer.Enformer_kidney_CHIP	0.2147191100946835	1.2395136811826564	9.82768761840272e-18	eGFR
Vierstra2023.rsids_FDR20_Kidney	0.1233876600167672	1.1313229046068758	6.134463019694422e-05	eGFR
Vierstra2023.rsids_Nominal_Kidney	0.2054195712080428	1.2280402071994552	3.500075029036e-08	eGFR
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_lung	-0.0122605984376252	0.9878142564651214	0.9006534654874729	FEV1_FVC_ratio
Enformer.Enformer_lung_all	0.1681527600058127	1.1831173298543116	4.448535489603836e-11	FEV1_FVC_ratio
Enformer.Enformer_lung_H3K4me3	0.1724414715639174	1.1882022749589058	1.510422897110966e-09	FEV1_FVC_ratio
Enformer.Enformer_lung_DNASE	0.2157422819291941	1.2407825657024865	3.844429223821126e-15	FEV1_FVC_ratio
Enformer.Enformer_lung_CAGE	0.1038966421438406	1.1094857749180105	3.5382604938356306e-05	FEV1_FVC_ratio
Enformer.Enformer_lung_CHIP	0.1671307486500653	1.181908788184868	5.399600857114764e-11	FEV1_FVC_ratio
Vierstra2023.rsids_FDR20_Lung	0.089883483170295	1.094046801413589	0.0359795950938513	FEV1_FVC_ratio
Vierstra2023.rsids_Nominal_Lung	0.2032799414011834	1.2254154647580335	6.580822292978447e-05	FEV1_FVC_ratio
dnase.lung.abs_logfc_x_max_percentile	0.1223837619679903	1.1301877416396842	0.0231385332692155	FEV1_FVC_ratio
dnase.lung.jsd_x_max_percentile	0.1695707655900898	1.1847961868678982	0.0059735175466704	FEV1_FVC_ratio
dnase.lung.abs_logfc_x_jsd_x_max_percentile	0.0646036546173105	1.066736144641035	0.1987190818484694	FEV1_FVC_ratio
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_HepG2	0.1732485281478563	1.1891616084941143	0.0082870784441648	LDL-C
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_liver	0.2145955387124179	1.239360522226962	0.0010800996550514	LDL-C
Enformer.Enformer_HepG2_CHIP	0.2376134679284907	1.268218890797299	5.020878530744663e-08	LDL-C
Enformer.Enformer_liver_all	0.2949058145874303	1.342999861733228	3.2379824888082536e-16	LDL-C
Enformer.Enformer_liver_CHIP	0.2886203844614656	1.3345850031494897	9.592978094257276e-16	LDL-C
Enformer.Enformer_HepG2_all	0.24561282144333	1.2784045068965075	1.3502471420171991e-08	LDL-C
MPRA_GTEx_2023_Tewhey.HepG2	0.161398281032825	1.1751529167377002	0.0119823671534823	LDL-C
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.refalt.MPRAdeep	0.2733700807629636	1.3143865840166409	0.0002778052780512	LDL-C
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.bin.MPRAdeep	0.2477891966440299	1.2811898246105662	0.0109549984740297	LDL-C
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.MPRAdeep	0.2721808842977722	1.312824449163752	0.0003690469522311	LDL-C
Vierstra2023.rsids_FDR20_Liver	0.1145055175123573	1.1213188279373842	0.007380344729205	LDL-C
Vierstra2023.rsids_Nominal_Liver	0.2109134570378785	1.2348054867126457	0.0005487647111289	LDL-C
dnase.liver.abs_logfc_x_max_percentile	0.2838318535092607	1.3282095781958068	1.3923104157888266e-11	LDL-C
dnase.HepG2.abs_logfc_x_max_percentile	0.2310855746569552	1.259967056084579	7.0157007345846624e-09	LDL-C
dnase.liver.jsd_x_max_percentile	0.3735130487182835	1.4528295209829376	1.818048860364243e-12	LDL-C
dnase.HepG2.jsd_x_max_percentile	0.2892698390462359	1.3354520370176353	1.09951791142284e-09	LDL-C
dnase.liver.abs_logfc_x_jsd_x_max_percentile	0.1552719085097194	1.1679755004100545	1.729920935445812e-05	LDL-C
dnase.HepG2.abs_logfc_x_jsd_x_max_percentile	0.1194104579179086	1.1268323406357732	0.0004452233925055	LDL-C
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_K562	0.1560616573268339	1.1688982720108507	0.0003029138877419	Lymphocyte_Count
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_blood	0.1984484968103353	1.2195092171822908	0.000119025138409	Lymphocyte_Count
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_GM12878	0.143135139818435	1.1538857270375564	0.0026573877746512	Lymphocyte_Count
Enformer.Enformer_blood_H3K27ac	0.2435418100924291	1.2757596563547615	8.029147083319449e-13	Lymphocyte_Count
Enformer.Enformer_blood_CHIP	0.2304832311516523	1.2592083516347392	3.6196572716683174e-10	Lymphocyte_Count
Enformer.Enformer_GM12878_CHIP	0.1738292124994819	1.1898523365598013	4.363485967176901e-07	Lymphocyte_Count
Enformer.Enformer_GM12878_all	0.1742370372976621	1.19033768681103	4.208222950380835e-07	Lymphocyte_Count
Enformer.Enformer_blood_DNASE	0.2269522628397369	1.254769967355524	2.163424018805248e-11	Lymphocyte_Count
Enformer.Enformer_blood_CAGE	0.1663689278982288	1.1810087284288815	5.60973982086817e-08	Lymphocyte_Count
Enformer.Enformer_K562_CHIP	0.1658465200958524	1.1803919213809106	2.4427810539555e-06	Lymphocyte_Count
Enformer.Enformer_K562_all	0.1657590655166044	1.1802886952159448	2.501143014073629e-06	Lymphocyte_Count
Enformer.Enformer_blood_H3K4me3	0.2566596013972108	1.292605050909713	7.0923912920403736e-15	Lymphocyte_Count
Enformer.Enformer_blood_H3K4me1	0.2066422235365645	1.2295425916780895	7.275248278108548e-08	Lymphocyte_Count
Enformer.Enformer_blood_all	0.2330341768044802	1.262424624229533	2.5113993848744634e-10	Lymphocyte_Count
MPRA_GTEx_2023_Tewhey.K562	-0.0485817978895193	0.9525794171330229	0.6007424663763685	Lymphocyte_Count
MPRA_RyanTewhey_deeplearn_2023.K562.skew.MPRAdeep	0.1166128291065664	1.1236842876092277	0.0313754490132483	Lymphocyte_Count
MPRA_RyanTewhey_deeplearn_2023.K562.skew.bin.MPRAdeep	0.1414646101268918	1.1519597358305411	0.0088586538173905	Lymphocyte_Count
MPRA_RyanTewhey_deeplearn_2023.K562.skew.refalt.MPRAdeep	0.1331919926991842	1.142469323044915	0.0105668523701064	Lymphocyte_Count
Vierstra2023.rsids_FDR20_K562	-25.846048639699568	5.959415919726081e-12	2.57813191697918e-17	Lymphocyte_Count
Vierstra2023.rsids_FDR20_Blood	0.0802232777813074	1.0835289686124954	0.1489055125211051	Lymphocyte_Count
Vierstra2023.rsids_Nominal_Blood	0.1924210877833922	1.2121808440558022	0.000234231443222	Lymphocyte_Count
Vierstra2023.rsids_Nominal_K562	0.0131551336385886	1.0132420430927882	0.8307381699843552	Lymphocyte_Count
dnase.blood.abs_logfc_x_max_percentile	0.2091555437655163	1.2326367125756936	1.5283078732016845e-08	Lymphocyte_Count
dnase.GM12878.abs_logfc_x_max_percentile	0.1529859279337131	1.1653085805277683	3.574772857378273e-05	Lymphocyte_Count
dnase.K562.abs_logfc_x_max_percentile	0.0928683167917755	1.0973172275007104	0.0193386711547586	Lymphocyte_Count
dnase.blood.jsd_x_max_percentile	0.2704626348774612	1.310570626184532	8.951145923467427e-12	Lymphocyte_Count
dnase.GM12878.jsd_x_max_percentile	0.1861291327205231	1.20457780074323	1.077400620162326e-05	Lymphocyte_Count
dnase.K562.jsd_x_max_percentile	0.0996232996469663	1.1047546782044215	0.0242931453300611	Lymphocyte_Count
dnase.blood.abs_logfc_x_jsd_x_max_percentile	0.1016625636736496	1.1070098633554355	0.0025701692203057	Lymphocyte_Count
dnase.GM12878.abs_logfc_x_jsd_x_max_percentile	0.1031725864963713	1.1086827362343243	0.0015238839779887	Lymphocyte_Count
dnase.K562.abs_logfc_x_jsd_x_max_percentile	0.039870390684737	1.0406758841623178	0.368040791499689	Lymphocyte_Count
