annotation	a	b	c	d	odds_ratio	p_value
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_GM12878	33	180	353	7554	3.923229461756374	1.2985046789733921e-09
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_K562	29	184	305	7602	3.9283321454027087	1.0305342361508337e-08
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_BLD	87	126	1436	6471	3.1114703541583766	3.908216901309172e-14
cCREv4_Human_CellType.GM12878_pELS	9	204	107	7800	3.216052776250687	0.003343278518874061
cCREv4_Human_CellType.K562_PLS	9	204	67	7840	5.162423178226515	0.00015403664639661223
cCREv4_Human_CellType.GM12878_dELS	10	203	100	7807	3.8458128078817735	0.0005947913370599707
cCREv4_Human_CellType.K562_pELS	10	203	123	7784	3.117465657415195	0.0025397237034272707
cCREv4_Human_CellType.K562_dELS	11	202	85	7822	5.011182294700058	3.9003226853318864e-05
cCREv4_Human_CellType.BLD_PLS	13	200	113	7794	4.483274336283186	2.41563375820099e-05
cCREv4_Human_CellType.BLD_dELS	48	165	618	7289	3.4311268020005885	5.314507193832442e-11
cCREv4_Human_CellType.GM12878_PLS	10	203	77	7830	5.009276437847866	8.567976805696497e-05
cCREv4_Human_CellType.BLD_pELS	35	178	402	7505	3.670901112415451	2.2154198842587725e-09
GTEx_Flagship.GTEx_Finemap_PIP_50_blood	2	211	37	7870	2.016139362110926	0.27280109052925844
GTEx_Flagship.GTEx_Finemap_PIP_10_blood	6	207	138	7769	1.6318000420079815	0.28110322374398294
