annotation	beta	odds_ratio_per_SD	p_value
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_lung	-0.012260598437625236	0.9878142564651214	0.9006534654874729
Enformer.Enformer_lung_all	0.16815276000581275	1.1831173298543116	4.448535489603836e-11
Enformer.Enformer_lung_H3K4me3	0.17244147156391748	1.1882022749589058	1.510422897110966e-09
Enformer.Enformer_lung_DNASE	0.21574228192919415	1.2407825657024865	3.844429223821126e-15
Enformer.Enformer_lung_CAGE	0.10389664214384065	1.1094857749180105	3.5382604938356306e-05
Enformer.Enformer_lung_CHIP	0.1671307486500653	1.181908788184868	5.399600857114764e-11
Vierstra2023.rsids_FDR20_Lung	0.08988348317029503	1.094046801413589	0.035979595093851374
Vierstra2023.rsids_Nominal_Lung	0.20327994140118347	1.2254154647580335	6.580822292978447e-05
dnase.lung.abs_logfc_x_max_percentile	0.12238376196799039	1.1301877416396842	0.023138533269215538
dnase.lung.jsd_x_max_percentile	0.16957076559008988	1.1847961868678982	0.005973517546670469
dnase.lung.abs_logfc_x_jsd_x_max_percentile	0.0646036546173105	1.066736144641035	0.19871908184846943
