annotation	beta	odds_ratio_per_SD	p_value
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_HepG2	0.17324852814785635	1.1891616084941143	0.008287078444164863
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_liver	0.2145955387124179	1.2393605222269621	0.0010800996550514336
Enformer.Enformer_HepG2_CHIP	0.23761346792849072	1.268218890797299	5.020878530744663e-08
Enformer.Enformer_liver_all	0.2949058145874303	1.342999861733228	3.2379824888082536e-16
Enformer.Enformer_liver_CHIP	0.28862038446146565	1.3345850031494895	9.592978094257276e-16
Enformer.Enformer_HepG2_all	0.24561282144333008	1.2784045068965075	1.350247142017199e-08
MPRA_GTEx_2023_Tewhey.HepG2	0.16139828103282503	1.1751529167377002	0.01198236715348236
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.refalt.MPRAdeep	0.2733700807629636	1.3143865840166409	0.00027780527805129363
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.bin.MPRAdeep	0.24778919664402996	1.2811898246105662	0.010954998474029753
MPRA_RyanTewhey_deeplearn_2023.HepG2.skew.MPRAdeep	0.27218088429777226	1.312824449163752	0.0003690469522311916
Vierstra2023.rsids_FDR20_Liver	0.11450551751235734	1.1213188279373842	0.007380344729205099
Vierstra2023.rsids_Nominal_Liver	0.2109134570378785	1.2348054867126455	0.0005487647111289811
dnase.liver.abs_logfc_x_max_percentile	0.2838318535092607	1.3282095781958068	1.3923104157888266e-11
dnase.HepG2.abs_logfc_x_max_percentile	0.2310855746569552	1.259967056084579	7.015700734584662e-09
dnase.liver.jsd_x_max_percentile	0.3735130487182835	1.4528295209829376	1.8180488603642427e-12
dnase.HepG2.jsd_x_max_percentile	0.2892698390462359	1.3354520370176353	1.0995179114228401e-09
dnase.liver.abs_logfc_x_jsd_x_max_percentile	0.1552719085097194	1.1679755004100543	1.729920935445812e-05
dnase.HepG2.abs_logfc_x_jsd_x_max_percentile	0.1194104579179086	1.1268323406357732	0.0004452233925055271
