annotation	beta	odds_ratio_per_SD	p_value
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_K562	0.1560616573268339	1.1688982720108507	0.0003029138877419827
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_blood	0.1984484968103353	1.2195092171822908	0.00011902513840906425
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_GM12878	0.143135139818435	1.1538857270375564	0.0026573877746512166
Enformer.Enformer_blood_H3K27ac	0.2435418100924291	1.2757596563547617	8.029147083319449e-13
Enformer.Enformer_blood_CHIP	0.2304832311516523	1.2592083516347392	3.619657271668318e-10
Enformer.Enformer_GM12878_CHIP	0.17382921249948194	1.1898523365598013	4.3634859671769007e-07
Enformer.Enformer_GM12878_all	0.17423703729766213	1.19033768681103	4.208222950380835e-07
Enformer.Enformer_blood_DNASE	0.22695226283973696	1.254769967355524	2.163424018805248e-11
Enformer.Enformer_blood_CAGE	0.1663689278982288	1.1810087284288815	5.60973982086817e-08
Enformer.Enformer_K562_CHIP	0.16584652009585243	1.1803919213809106	2.4427810539555e-06
Enformer.Enformer_K562_all	0.16575906551660446	1.1802886952159448	2.5011430140736292e-06
Enformer.Enformer_blood_H3K4me3	0.2566596013972108	1.292605050909713	7.0923912920403736e-15
Enformer.Enformer_blood_H3K4me1	0.20664222353656453	1.2295425916780895	7.275248278108548e-08
Enformer.Enformer_blood_all	0.2330341768044802	1.262424624229533	2.5113993848744634e-10
MPRA_GTEx_2023_Tewhey.K562	-0.048581797889519315	0.9525794171330227	0.6007424663763685
MPRA_RyanTewhey_deeplearn_2023.K562.skew.MPRAdeep	0.11661282910656647	1.1236842876092275	0.03137544901324831
MPRA_RyanTewhey_deeplearn_2023.K562.skew.bin.MPRAdeep	0.1414646101268918	1.1519597358305411	0.00885865381739055
MPRA_RyanTewhey_deeplearn_2023.K562.skew.refalt.MPRAdeep	0.13319199269918422	1.142469323044915	0.010566852370106407
Vierstra2023.rsids_FDR20_K562	-25.846048639699568	5.959415919726081e-12	2.5781319169791797e-17
Vierstra2023.rsids_FDR20_Blood	0.08022327778130747	1.0835289686124954	0.14890551252110518
Vierstra2023.rsids_Nominal_Blood	0.19242108778339226	1.2121808440558022	0.0002342314432220872
Vierstra2023.rsids_Nominal_K562	0.013155133638588652	1.0132420430927882	0.8307381699843552
dnase.blood.abs_logfc_x_max_percentile	0.2091555437655163	1.2326367125756936	1.5283078732016845e-08
dnase.GM12878.abs_logfc_x_max_percentile	0.1529859279337131	1.1653085805277685	3.574772857378273e-05
dnase.K562.abs_logfc_x_max_percentile	0.0928683167917755	1.0973172275007104	0.019338671154758656
dnase.blood.jsd_x_max_percentile	0.2704626348774612	1.310570626184532	8.951145923467427e-12
dnase.GM12878.jsd_x_max_percentile	0.18612913272052317	1.20457780074323	1.077400620162326e-05
dnase.K562.jsd_x_max_percentile	0.09962329964696637	1.1047546782044215	0.02429314533006113
dnase.blood.abs_logfc_x_jsd_x_max_percentile	0.10166256367364962	1.1070098633554357	0.002570169220305766
dnase.GM12878.abs_logfc_x_jsd_x_max_percentile	0.1031725864963713	1.1086827362343243	0.0015238839779887377
dnase.K562.abs_logfc_x_jsd_x_max_percentile	0.039870390684737016	1.0406758841623178	0.36804079149968905
